excel_row,stop_id,id,id_num,csv_stop_id,retained_rows,unique_month_hours,station_latitude,station_longitude,weather_latitude,weather_longitude,max_coordinate_offset_degrees
170,1065,1065,1065,1065,288,288,46.2134,7.3167,46.2000000000002,7.30000000000012,0.016699999999880255
171,1066,1066,1066,1066,288,288,47.5266,8.7342,47.50000000000022,8.700000000000115,0.03419999999988477
172,1075,1075,1075,1075,288,288,46.878,7.5422,46.90000000000021,7.500000000000119,0.04219999999988122
173,1077,1077,1077,1077,288,288,47.4292,8.2362,47.40000000000022,8.200000000000117,0.03619999999988366
174,1095,1095,1095,1095,288,288,46.3924,8.8819,46.400000000000205,8.900000000000114,0.018100000000114136
175,1107,1107,1107,1107,288,288,49.0907,16.5909,49.10000000000024,16.600000000000097,0.009300000000244779
176,1108,1108,1108,1108,288,288,50.7837,14.6161,50.80000000000027,14.600000000000094,0.016300000000263992
177,1110,1110,1110,1110,288,288,50.7089,15.3157,50.700000000000266,15.300000000000091,0.015699999999908343
178,1113,1113,1113,1113,288,288,50.6776,14.0132,50.700000000000266,14.000000000000096,0.02240000000026754
179,1121,1121,1121,1121,288,288,50.5056,14.0516,50.50000000000026,14.100000000000096,0.048400000000095034
180,1125,1125,1125,1125,288,288,50.3894,14.2253,50.40000000000026,14.200000000000095,0.02529999999990551
181,1128,1128,1128,1128,288,288,50.3435,14.8718,50.30000000000026,14.900000000000093,0.04349999999973875
182,1133,1133,1133,1133,288,288,50.2131,12.1706,50.20000000000026,12.200000000000102,0.02940000000010201
183,1137,1137,1137,1137,288,288,50.1668,12.3164,50.20000000000026,12.300000000000102,0.03320000000025658
184,1143,1143,1143,1143,288,288,50.0871,14.5367,50.10000000000026,14.500000000000094,0.036699999999905586
185,1145,1145,1145,1145,288,288,50.0338,14.2158,50.000000000000256,14.200000000000095,0.03379999999974359
186,1149,1149,1149,1149,288,288,49.924,16.1864,49.900000000000254,16.20000000000009,0.023999999999745114
187,1161,1161,1161,1161,288,288,49.7129,17.0752,49.70000000000025,17.100000000000104,0.024800000000105626
188,1167,1167,1167,1167,288,288,49.6549,14.6325,49.70000000000025,14.600000000000094,0.045100000000253715
189,1175,1175,1175,1175,288,288,49.4543,15.5901,49.50000000000025,15.60000000000009,0.04570000000024521
190,1176,1176,1176,1176,288,288,49.441,15.1208,49.40000000000025,15.100000000000092,0.04099999999975523
191,1185,1185,1185,1185,288,288,49.1915,16.879,49.20000000000024,16.9000000000001,0.021000000000100272
192,1204,1204,1204,1204,288,288,49.7527,15.0205,49.80000000000025,15.000000000000092,0.04730000000025569
193,1205,1205,1205,1205,288,288,49.7027,12.9881,49.70000000000025,13.0000000000001,0.011900000000100164
194,1206,1206,1206,1206,288,288,49.6766,13.3252,49.70000000000025,13.300000000000098,0.02519999999990219
195,1209,1209,1209,1209,288,288,49.0503,17.4686,49.10000000000024,17.50000000000011,0.049700000000242994
196,1213,1213,1213,1213,288,288,50.8011,14.4316,50.80000000000027,14.400000000000096,0.03159999999990326
197,1225,1225,1225,1225,288,288,50.5654,15.1895,50.60000000000026,15.200000000000092,0.03460000000026042
198,1229,1229,1229,1229,288,288,50.4887,13.4468,50.50000000000026,13.400000000000098,0.04679999999990159
199,1234,1234,1234,1234,288,288,50.4342,15.0472,50.40000000000026,15.000000000000092,0.04719999999990776
200,1243,1243,1243,1243,288,288,50.2445,12.8995,50.20000000000026,12.9000000000001,0.04449999999974352
201,1244,1244,1244,1244,288,288,49.6206,15.1336,49.60000000000025,15.100000000000092,0.03359999999990748
202,1248,1248,1248,1248,288,288,50.1786,15.8017,50.20000000000026,15.80000000000009,0.02140000000025566
203,1249,1249,1249,1249,288,288,49.5559,17.7276,49.60000000000025,17.700000000000113,0.04410000000024894
204,1258,1258,1258,1258,288,288,50.1272,14.7125,50.10000000000026,14.700000000000092,0.02719999999974476
205,1259,1259,1259,1259,288,288,50.1202,14.5095,50.10000000000026,14.500000000000094,0.02019999999973976
206,1271,1271,1271,1271,288,288,49.9413,13.0805,49.900000000000254,13.1000000000001,0.041299999999743875
207,1286,1286,1286,1286,288,288,49.7479,16.5782,49.70000000000025,16.600000000000097,0.04789999999974981
208,1290,1290,1290,1290,288,288,49.6621,18.4564,49.70000000000025,18.500000000000124,0.04360000000012576
209,1299,1299,1299,1299,288,288,49.5285,16.582,49.50000000000025,16.600000000000097,0.02849999999975239
210,1302,1302,1302,1302,288,288,49.4814,13.5855,49.50000000000025,13.600000000000096,0.018600000000247974
211,1306,1306,1306,1306,288,288,49.4079,14.7327,49.40000000000025,14.700000000000092,0.0326999999999078
212,1318,1318,1318,1318,288,288,49.2877,16.222,49.300000000000246,16.20000000000009,0.021999999999909647
213,1320,1320,1320,1320,288,288,49.2564,14.7253,49.300000000000246,14.700000000000092,0.04360000000024655
214,1326,1326,1326,1326,288,288,49.1411,14.1836,49.10000000000024,14.200000000000095,0.04109999999975855
215,1327,1327,1327,1327,288,288,49.1397,13.2408,49.10000000000024,13.2000000000001,0.04079999999989958
216,1335,1335,1335,1335,288,288,49.036,15.8289,49.00000000000024,15.80000000000009,0.03599999999975978
217,1337,1337,1337,1337,288,288,49.0035,17.6492,49.00000000000024,17.60000000000011,0.04919999999988889
218,1341,1341,1341,1341,288,288,48.8624,16.6075,48.90000000000024,16.600000000000097,0.03760000000023922
219,1343,1343,1343,1343,288,288,48.8389,14.4558,48.80000000000024,14.500000000000094,0.044200000000094164
220,1354,1354,1354,1354,288,288,50.5511,13.7856,50.60000000000026,13.800000000000097,0.04890000000025907
221,1357,1357,1357,1357,288,288,49.9332,14.0196,49.900000000000254,14.000000000000096,0.03319999999974499
222,1359,1359,1359,1359,288,288,49.6764,12.6002,49.70000000000025,12.6000000000001,0.02360000000025053
223,1364,1364,1364,1364,288,288,49.3159,14.1365,49.300000000000246,14.100000000000096,0.036499999999904276
224,1365,1365,1365,1365,288,288,49.2339,16.5909,49.20000000000024,16.600000000000097,0.03389999999976112
225,1394,1394,1394,1394,288,288,50.0863,12.4587,50.10000000000026,12.5000000000001,0.041300000000099146
226,1400,1400,1400,1400,288,288,49.885,14.7094,49.900000000000254,14.700000000000092,0.015000000000256364
227,1418,1418,1418,1418,288,288,50.7609,15.048,50.80000000000027,15.000000000000092,0.04799999999990767
228,1421,1421,1421,1421,288,288,50.1777,15.0451,50.20000000000026,15.000000000000092,0.045099999999907325
229,1432,1432,1432,1432,288,288,49.7576,13.6165,49.80000000000025,13.600000000000096,0.042400000000256455
230,1435,1435,1435,1435,288,288,49.637,18.1,49.60000000000025,18.10000000000012,0.036999999999750344
231,1441,1441,1441,1441,288,288,49.4238,13.8653,49.40000000000025,13.900000000000096,0.034700000000096765
232,1447,1447,1447,1447,288,288,48.9906,14.5031,49.00000000000024,14.500000000000094,0.009400000000240993
233,1458,1458,1458,1458,288,288,50.4314,15.4023,50.40000000000026,15.400000000000093,0.03139999999973497
234,1462,1462,1462,1462,288,288,50.1752,13.7689,50.20000000000026,13.800000000000097,0.031100000000096273
235,1465,1465,1465,1465,288,288,50.0485,12.9894,50.000000000000256,13.0000000000001,0.048499999999741306
236,1468,1468,1468,1468,288,288,49.8485,13.3736,49.80000000000025,13.400000000000098,0.04849999999974841
237,1474,1474,1474,1474,288,288,49.5832,17.4128,49.60000000000025,17.40000000000011,0.01680000000025217
238,1479,1479,1479,1479,288,288,49.4635,17.1462,49.50000000000025,17.100000000000104,0.04619999999989588
239,1490,1490,1490,1490,288,288,53.9596,10.2616,54.00000000000031,10.300000000000107,0.040400000000310854
240,1506,1506,1506,1506,288,288,52.2011,12.8841,52.20000000000029,12.9000000000001,0.015900000000099723
241,1516,1516,1516,1516,288,288,51.0992,6.3615,51.10000000000027,6.400000000000123,0.03850000000012255
242,1524,1524,1524,1524,288,288,50.8179,6.2147,50.80000000000027,6.200000000000124,0.01789999999973446
243,1526,1526,1526,1526,288,288,50.7421,9.2538,50.700000000000266,9.300000000000113,0.046200000000112595
244,1527,1527,1527,1527,288,288,50.7264,10.8428,50.700000000000266,10.800000000000107,0.042799999999893146
245,1533,1533,1533,1533,288,288,50.3716,11.7888,50.40000000000026,11.800000000000104,0.02840000000026066
246,1534,1534,1534,1534,288,288,50.003,10.4208,50.000000000000256,10.400000000000109,0.020799999999891128
247,1535,1535,1535,1535,288,288,49.9552,10.9811,50.000000000000256,11.000000000000108,0.04480000000025797
248,1537,1537,1537,1537,288,288,49.6727,8.5969,49.70000000000025,8.600000000000115,0.027300000000252567
249,1548,1548,1548,1548,288,288,54.5192,9.4644,54.50000000000032,9.500000000000112,0.03560000000011243
250,1558,1558,1558,1558,288,288,54.2397,12.4065,54.20000000000032,12.400000000000102,0.03969999999967655
251,1569,1569,1569,1569,288,288,48.647,12.4528,48.60000000000024,12.5000000000001,0.04720000000009961
252,1571,1571,1571,1571,288,288,54.0312,12.4702,54.00000000000031,12.5000000000001,0.0311999999996857
253,1581,1581,1581,1581,288,288,53.8532,11.3803,53.90000000000031,11.400000000000103,0.04680000000031015
254,1585,1585,1585,1585,288,288,53.8046,10.4548,53.80000000000031,10.500000000000108,0.04520000000010782
255,1590,1590,1590,1590,288,288,53.7145,12.3557,53.70000000000031,12.400000000000102,0.044300000000101036
256,1592,1592,1592,1592,288,288,53.71,13.2492,53.70000000000031,13.2000000000001,0.049199999999899546
257,1599,1599,1599,1599,288,288,53.6086,11.368,53.60000000000031,11.400000000000103,0.03200000000010306
258,1630,1630,1630,1630,288,288,53.3805,11.6262,53.400000000000304,11.600000000000104,0.026199999999896306
259,1642,1642,1642,1642,288,288,53.3394,10.2864,53.3000000000003,10.300000000000107,0.03939999999969501
260,1656,1656,1656,1656,288,288,53.2303,9.3455,53.2000000000003,9.300000000000113,0.04549999999988685
261,1662,1662,1662,1662,288,288,53.1862,8.7061,53.2000000000003,8.700000000000115,0.013800000000301793
262,1665,1665,1665,1665,288,288,47.8023,12.177,47.80000000000023,12.200000000000102,0.023000000000102716
263,1698,1698,1698,1698,288,288,52.8848,8.1292,52.9000000000003,8.100000000000117,0.029199999999883985
264,1743,1743,1743,1743,288,288,52.4594,13.5046,52.50000000000029,13.500000000000098,0.04060000000028907
265,1747,1747,1747,1747,288,288,52.4384,10.8295,52.40000000000029,10.800000000000107,0.038399999999711554
266,1756,1756,1756,1756,288,288,52.3905,12.8455,52.40000000000029,12.8000000000001,0.04549999999989929
267,1775,1775,1775,1775,288,288,52.266,7.9608,52.30000000000029,8.000000000000117,0.03920000000011736
268,1802,1802,1802,1802,288,288,52.1223,10.2289,52.100000000000286,10.20000000000011,0.028899999999890014
269,1806,1806,1806,1806,288,288,52.0905,8.6747,52.100000000000286,8.700000000000115,0.02530000000011512
270,1834,1834,1834,1834,288,288,51.8917,12.4556,51.90000000000028,12.5000000000001,0.04440000000009903
271,1835,1835,1835,1835,288,288,51.8843,8.4487,51.90000000000028,8.400000000000116,0.048699999999884724
